0,800,500,4,binary:binary:normal:normal,0,10,0,0,382.420311882706,0.01125,0.01375,0.015,0.015,0.0475,0.035
0.01,800,500,4,binary:binary:normal:normal,0,10,0,0,265.383699077934,0.435,0.41625,0.81875,0.80125,0.97875,0.8325
0.1,800,500,4,binary:binary:normal:normal,0,10,0,0,NA,0.95875,0.9225,1,1,1,0.995
0,800,500,4,binary:binary:normal:normal,3,1,0,0,379.904398668679,0.015,0.01125,0.01125,0.01625,0.04875,0.04125
0.01,800,500,4,binary:binary:normal:normal,3,1,0,0,257.18351270141,0.61,0.6,0.74125,0.725,0.975,0.84
0.1,800,500,4,binary:binary:normal:normal,3,1,0,0,NA,0.355,0.36625,1,0.99875,1,0.9975
0,800,500,4,binary:binary:T:T,0,10,0,0,378.145131872425,0.0125,0.00875,0.13625,0.12875,0.2575,0.05625
0.01,800,500,4,binary:binary:T:T,0,10,0,0,256.928116794149,0.45875,0.4475,0.25625,0.24375,0.83,0.6625
0.1,800,500,4,binary:binary:T:T,0,10,0,0,NA,0.965,0.945,0.29,0.28625,0.99875,0.8775
0,800,500,4,binary:binary:T:T,3,1,0,0,378.915129737394,0.0175,0.00875,0.1325,0.12125,0.26375,0.04125
0.01,800,500,4,binary:binary:T:T,3,1,0,0,NA,0.6375,0.585,0.2,0.22,0.8875,0.6675
0.1,800,500,4,binary:binary:T:T,3,1,0,0,NA,0.35875,0.3675,0.23125,0.235,0.6875,0.795
0,800,500,4,cauchy:cauchy:T:T,0,10,0,0,13.716896504898,0.11625,0.13875,0.12625,0.12375,0.405,0.03875
0.01,800,500,4,cauchy:cauchy:T:T,0,10,0,0,17.0907227730983,0.24,0.25125,0.26875,0.27625,0.685,0.445
0.1,800,500,4,cauchy:cauchy:T:T,0,10,0,0,63.9556772120977,0.655,0.60125,0.30125,0.28875,0.92625,0.89625
0,800,500,4,cauchy:cauchy:T:T,3,10,0,0,12.4120831394808,0.15,0.10375,0.11625,0.11125,0.41125,0.04875
0.01,800,500,4,cauchy:cauchy:T:T,3,10,0,0,20.2708988864836,0.25,0.2125,0.2525,0.275,0.665,0.4725
0.1,800,500,4,cauchy:cauchy:T:T,3,10,0,0,67.6954574335665,0.6375,0.64625,0.255,0.30125,0.925,0.88875
0,800,500,4,cauchy:cauchy:T:T,3,1,0,0,11.8724480282612,0.10125,0.1375,0.125,0.12375,0.39625,0.0375
0.01,800,500,4,cauchy:cauchy:T:T,3,1,0,0,13.356411380194,0.16125,0.145,0.18125,0.17375,0.50125,0.34
0.1,800,500,4,cauchy:cauchy:T:T,3,1,0,0,36.2192286345575,0.34375,0.39,0.21375,0.2125,0.735,0.825
0,800,500,4,T:T:T:T,0,10,0,0,19.1275950744994,0.12,0.11125,0.1125,0.13625,0.40375,0.0325
0.01,800,500,4,T:T:T:T,0,10,0,0,16.9202888505993,0.2675,0.25125,0.26625,0.255,0.7025,0.455
0.1,800,500,4,T:T:T:T,0,10,0,0,15.1032953308927,0.25625,0.29375,0.27125,0.28125,0.6975,0.715
0,800,500,4,T:T:T:T,3,1,0,0,17.3495406924673,0.135,0.13,0.12,0.14375,0.42625,0.0475
0.01,800,500,4,T:T:T:T,3,1,0,0,15.0227763317174,0.18,0.1725,0.16625,0.17375,0.535,0.38625
0.1,800,500,4,T:T:T:T,3,1,0,0,15.0258458153838,0.21375,0.21,0.24,0.20125,0.6075,0.65625
0,10,50,4,binary:binary:T:T,0,10,0,0,4.84876482593927,0,0,0.2,0.1,0.3,0
0.01,10,50,4,binary:binary:T:T,0,10,0,0,2.89294523384793,0,0.1,0,0.2,0.3,0.4
0.1,10,50,4,binary:binary:T:T,0,10,0,0,NA,0.1,0.2,0,0.1,0.4,0.4
