0,800,500,3,binary:binary:binary,0,1,0,0.0363856953323605,0.0275,0.01375,0.01125,0.05,0.04125
0.01,800,500,3,binary:binary:binary,0,1,0,0.0361476854077152,0.07875,0.0675,0.06875,0.19625,0.39625
0.05,800,500,3,binary:binary:binary,0,1,0,0.0482337615555636,0.275,0.255,0.275,0.57,0.8725
0.1,800,500,3,binary:binary:binary,0,1,0,0.0633649963200912,0.2925,0.2675,0.28625,0.54875,0.93875
0,800,500,3,normal:binary:binary,0,1,0,0.0356786830526418,0.015,0.0125,0.025,0.05125,0.0525
0.01,800,500,3,normal:binary:binary,0,1,0,0.0364829273343991,0.2475,0.07875,0.0525,0.33875,0.43
0.05,800,500,3,normal:binary:binary,0,1,0,0.0651653014938386,0.82,0.24625,0.2375,0.8975,0.9325
0.1,800,500,3,normal:binary:binary,0,1,0,0.107603285798046,0.96875,0.29125,0.31625,0.9825,0.97375
0,800,500,3,normal:normal:binary,0,1,0,0.0360427872604051,0.01375,0.02375,0.015,0.0525,0.04
0.01,800,500,3,normal:normal:binary,0,1,0,0.0397504863098356,0.255,0.25125,0.0475,0.45125,0.49875
0.05,800,500,3,normal:normal:binary,0,1,0,0.111976281483311,0.815,0.82625,0.25875,0.975,0.9425
0.1,800,500,3,normal:normal:binary,0,1,0,0.214900651797762,0.97375,0.97,0.2525,1,0.99375
0,800,500,3,normal:normal:normal,0,1,0,0.0355779087270378,0.0175,0.0175,0.02,0.055,0.04875
0.01,800,500,3,normal:normal:normal,0,1,0,0.0420861569896714,0.22375,0.27,0.24625,0.55,0.53625
0.05,800,500,3,normal:normal:normal,0,1,0,0.123857623077456,0.825,0.83625,0.8175,0.99125,0.9775
0.1,800,500,3,normal:normal:normal,0,1,0,0.23890889817952,0.96625,0.97375,0.9675,1,0.9975
